"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Bcl2.3",9.62381553443971e-09,0.0104545171288259,0.279,0.294,0.000225399383632112,"5","Bcl2"
"Ifitm10.2",9.8120156401453e-09,0.0222051380602288,0.142,0.131,0.000229807218307843,"5","Ifitm10"
"Itgb3.2",9.85332378895367e-09,0.0174722730225864,0.169,0.165,0.000230774696461084,"5","Itgb3"
"Bcan.1",9.90879783868412e-09,-0.035322954597838,0.073,0.104,0.000232073954179821,"5","Bcan"
"Mxd1.3",1.05800451938875e-08,0.0134979590349604,0.125,0.124,0.000247795238486039,"5","Mxd1"
"Ssu72.4",1.07069874619391e-08,-0.0177872698362496,0.733,0.776,0.000250768353346076,"5","Ssu72"
"Myo1b.4",1.09245703549605e-08,0.00353150660269821,0.134,0.149,0.00025586436228353,"5","Myo1b"
"Slc23a2.2",1.1106080104348e-08,0.0254453652185297,0.442,0.446,0.000260115502123935,"5","Slc23a2"
"Rrp1b.4",1.11630281657574e-08,0.0289656399893256,0.384,0.381,0.000261449282670205,"5","Rrp1b"
"Trim25.3",1.11671655782927e-08,0.0161702720834013,0.287,0.293,0.000261546185009193,"5","Trim25"
"Hook2.4",1.12401546655256e-08,-0.00529181325074399,0.161,0.187,0.000263255662421275,"5","Hook2"
"Igsf6.4",1.12955993591269e-08,-0.00577051671017725,0.48,0.52,0.000264554232590111,"5","Igsf6"
"Ier2.3",1.27812651422649e-08,0.0360383586083964,0.301,0.287,0.000299350010896986,"5","Ier2"
"Jun.3",1.3089342630569e-08,-0.0165764592892231,0.597,0.65,0.000306565493750557,"5","Jun"
"Myo1e.3",1.31875002916213e-08,0.021393453944304,0.269,0.27,0.000308864444330063,"5","Myo1e"
"Cyb5r1.2",1.32999406200301e-08,0.0118097538569594,0.303,0.316,0.000311497909261724,"5","Cyb5r1"
"Abhd18.4",1.34068805224919e-08,0.0163282860107127,0.176,0.179,0.000314002548717283,"5","Abhd18"
"Mpp1.4",1.3813342249894e-08,-0.0333553039589288,0.56,0.612,0.000323522288834767,"5","Mpp1"
"2010111I01Rik.3",1.42063924902124e-08,0.0124339880122748,0.161,0.166,0.000332727918513266,"5","2010111I01Rik"
"Dusp27.2",1.52799827137345e-08,0.0239992703543344,0.166,0.161,0.000357872475138375,"5","Dusp27"
"Twf1.4",1.61720368294318e-08,0.00389776855522317,0.612,0.643,0.000378765274582122,"5","Twf1"
"Errfi1.2",1.62100699886181e-08,0.00330973200433704,0.162,0.179,0.000379656049203425,"5","Errfi1"
"Atxn10.2",1.62466598691946e-08,-0.0113589449741027,0.803,0.84,0.000380513020796407,"5","Atxn10"
"Pus7.4",1.63715595344944e-08,0.0354236719073434,0.214,0.183,0.000383438295857392,"5","Pus7"
"Fam13a.3",1.67820750116593e-08,-0.00124139886503075,0.136,0.156,0.000393052978848073,"5","Fam13a"
"Gng12.3",1.68320845954977e-08,0.0154994830282396,0.683,0.702,0.000394224253311152,"5","Gng12"
"Slc39a6.3",1.68905489981254e-08,0.0250442333044847,0.277,0.271,0.000395593548085096,"5","Slc39a6"
"Ercc6l2.4",1.76480032082265e-08,-0.0206692836243021,0.246,0.289,0.000413333883139873,"5","Ercc6l2"
"Ccl2.2",1.79241197501728e-08,0.0220415645536692,0.131,0.164,0.000419800808668797,"5","Ccl2"
"Slc2a1.3",1.84961001777222e-08,-0.0146294144211448,0.183,0.218,0.000433197162262431,"5","Slc2a1"
